timestamps,TP9,AF7,AF8,TP10,Right AUX
1676160252.001,-0.488,-24.414,-34.180,-20.020,0.000
1676160252.005,-20.020,-17.090,-31.250,-42.969,0.000
1676160252.009,-11.719,-19.531,-39.062,-28.809,0.000
1676160252.013,14.160,-17.578,-43.457,7.812,0.000
1676160252.016,10.254,-7.812,-37.598,0.488,0.000
1676160252.020,-17.090,-7.812,-30.762,-28.809,0.000
1676160252.024,-23.438,-10.254,-27.832,-17.578,0.000
1676160252.028,8.789,-12.695,-22.461,25.391,0.000
1676160252.032,19.531,-13.672,-25.879,29.785,0.000
1676160252.036,-3.418,-14.648,-29.785,-9.277,0.000
1676160252.040,-20.996,-15.137,-30.273,-24.414,0.000
1676160252.044,-5.859,-15.137,-34.180,-6.348,0.000
1676160252.048,20.508,-11.719,-25.879,9.766,0.000
1676160252.052,-6.836,-15.137,-33.691,-16.113,0.000
1676160252.056,-29.785,-14.160,-42.969,-37.598,0.000
1676160252.059,-13.184,-7.812,-36.133,-4.883,0.000
1676160252.063,4.395,-9.766,-30.273,20.020,0.000
1676160252.067,2.930,-13.184,-23.926,4.883,0.000
1676160252.071,-23.438,-17.578,-29.297,-37.598,0.000
1676160252.075,-20.020,-20.996,-34.180,-36.133,0.000
1676160252.079,9.277,-20.508,-31.738,16.113,0.000
1676160252.083,8.789,-15.137,-29.785,16.602,0.000
1676160252.087,-23.438,-16.113,-35.156,-39.062,0.000
1676160252.091,-33.691,-20.508,-33.203,-47.852,0.000
1676160252.095,-6.836,-22.461,-31.738,-8.789,0.000
1676160252.098,6.836,-16.602,-31.250,-4.395,0.000
1676160252.102,-15.137,-18.555,-30.762,-42.480,0.000
1676160252.106,-33.691,-26.855,-41.504,-55.176,0.000
1676160252.110,-8.301,-20.020,-38.574,-9.766,0.000
1676160252.114,3.906,-24.414,-38.086,8.301,0.000
1676160252.118,-22.949,-37.109,-46.875,-26.855,0.000
1676160252.122,-39.551,-32.227,-39.062,-45.410,0.000
1676160252.126,-24.414,-20.508,-28.320,-20.508,0.000
1676160252.130,4.883,-20.020,-28.809,11.230,0.000
1676160252.134,-5.371,-24.414,-34.668,-17.090,0.000
1676160252.138,-26.855,-24.902,-32.227,-53.711,0.000
1676160252.141,-5.371,-25.391,-24.902,-26.367,0.000
1676160252.145,17.090,-23.438,-21.973,5.859,0.000
1676160252.149,13.184,-21.484,-25.879,-1.465,0.000
1676160252.153,-4.395,-20.508,-32.227,-33.691,0.000
1676160252.157,-18.066,-19.043,-33.203,-40.527,0.000
1676160252.161,3.418,-16.602,-32.227,-11.230,0.000
1676160252.165,10.742,-24.902,-38.086,-3.906,0.000
1676160252.169,-14.648,-22.461,-42.969,-33.691,0.000
1676160252.173,-21.484,-16.602,-35.156,-35.156,0.000
1676160252.177,-15.625,-25.391,-42.969,-10.742,0.000
1676160252.181,0.000,-24.902,-48.340,2.441,0.000
1676160252.184,-5.859,-30.762,-41.992,-11.230,0.000
1676160252.188,-41.504,-35.645,-51.758,-45.898,0.000
1676160252.192,-36.621,-27.344,-47.852,-27.832,0.000
1676160252.196,-0.977,-23.438,-37.598,7.324,0.000
1676160252.200,1.953,-28.320,-39.551,-1.953,0.000
1676160252.204,-27.344,-28.320,-37.598,-38.086,0.000
1676160252.208,-32.715,-17.578,-36.133,-33.691,0.000
1676160252.212,-3.906,-18.555,-39.551,3.906,0.000
1676160252.216,11.719,-21.484,-39.062,5.859,0.000
1676160252.220,-10.254,-19.531,-35.156,-30.762,0.000
1676160252.223,-26.367,-21.973,-36.133,-44.922,0.000
1676160252.227,-1.953,-17.578,-37.598,-1.953,0.000
1676160252.231,27.344,-12.207,-33.203,19.043,0.000
1676160252.235,5.371,-7.812,-28.320,-15.137,0.000
1676160252.239,-17.578,-1.465,-35.645,-38.086,0.000
1676160252.243,-2.930,-6.836,-33.691,0.000,0.000
1676160252.247,7.812,-14.160,-32.227,22.949,0.000
1676160252.251,-1.953,-12.695,-32.227,-6.348,0.000
1676160252.255,-25.879,-17.090,-24.902,-30.762,0.000
1676160252.259,-23.926,-33.203,-25.879,-11.719,0.000
1676160252.263,-2.930,-33.203,-29.297,20.508,0.000
1676160252.266,-0.977,-16.602,-25.879,2.930,0.000
1676160252.270,-21.973,-4.395,-24.414,-38.574,0.000
1676160252.274,-20.996,-7.812,-26.367,-33.691,0.000
1676160252.278,6.836,-10.742,-22.949,3.418,0.000
1676160252.282,4.395,-5.859,-20.996,-1.465,0.000
1676160252.286,-14.160,-9.766,-22.461,-27.344,0.000
1676160252.290,-24.902,-13.672,-35.156,-40.039,0.000
1676160252.294,-0.488,-6.836,-36.621,-6.348,0.000
1676160252.298,13.184,-4.395,-30.273,5.859,0.000
1676160252.302,-20.020,-7.812,-22.949,-29.297,0.000
1676160252.306,-42.969,-17.090,-26.367,-48.340,0.000
1676160252.309,-30.273,-25.391,-42.480,-29.297,0.000
1676160252.313,-0.488,-20.508,-36.133,-1.953,0.000
1676160252.317,-6.348,-11.230,-21.973,-17.090,0.000
1676160252.321,-29.297,-5.371,-20.508,-41.016,0.000
1676160252.325,-28.809,-11.719,-29.785,-28.809,0.000
1676160252.329,-14.160,-14.160,-33.691,-7.812,0.000
1676160252.333,-5.371,-11.719,-25.879,-7.324,0.000
1676160252.337,-19.531,-10.742,-27.344,-37.598,0.000
1676160252.341,-32.227,-14.160,-34.180,-50.293,0.000
1676160252.345,-15.137,-24.414,-44.434,-14.648,0.000
1676160252.348,-2.441,-28.809,-45.898,-1.953,0.000
1676160252.352,-24.414,-22.461,-40.039,-46.387,0.000
1676160252.356,-32.227,-23.438,-37.109,-53.223,0.000
1676160252.360,-9.277,-30.273,-38.574,-12.695,0.000
1676160252.364,6.836,-22.949,-36.133,7.812,0.000
1676160252.368,-9.277,-18.066,-28.809,-2.930,0.000
1676160252.372,-51.270,-24.902,-40.039,-45.898,0.000
1676160252.376,-35.156,-19.043,-45.410,-33.203,0.000
1676160252.380,0.000,-12.207,-39.062,4.395,0.000
1676160252.384,-15.625,-17.578,-45.898,-24.902,0.000
1676160252.388,-39.062,-20.508,-50.781,-53.711,0.000
1676160252.391,-30.273,-18.066,-47.852,-35.645,0.000
